model,threshold,true_negatives,false_positives,false_negatives,true_positives,business_cost,precision,recall,f1
Logistic Regression,0.45,6468,1261,34,237,1601,0.1582109479305741,0.8745387453874539,0.2679479932165065
Logistic Regression,0.46,6507,1222,36,235,1582,0.16129032258064516,0.8671586715867159,0.27199074074074076
Logistic Regression,0.47,6545,1184,37,234,1554,0.16502115655853314,0.8634686346863468,0.27708703374777977
Logistic Regression,0.48,6578,1151,38,233,1531,0.16835260115606937,0.8597785977859779,0.28157099697885196
Logistic Regression,0.49,6604,1125,40,231,1525,0.17035398230088494,0.8523985239852399,0.28395820528580207
Logistic Regression,0.5,6639,1090,42,229,1510,0.17361637604245642,0.8450184501845018,0.2880503144654088
Logistic Regression,0.51,6671,1058,45,226,1508,0.17601246105919002,0.8339483394833949,0.2906752411575563
Logistic Regression,0.52,6698,1031,46,225,1491,0.17914012738853502,0.8302583025830258,0.29469548133595286
Logistic Regression,0.53,6730,999,46,225,1459,0.18382352941176472,0.8302583025830258,0.3010033444816054
Logistic Regression,0.54,6758,971,47,224,1441,0.18744769874476988,0.8265682656826568,0.30559345156889495
Logistic Regression,0.55,6783,946,47,224,1416,0.19145299145299147,0.8265682656826568,0.3108952116585704
Logistic Regression,0.56,6813,916,48,223,1396,0.1957857769973661,0.8228782287822878,0.31631205673758866
Logistic Regression,0.57,6841,888,51,220,1398,0.19855595667870035,0.8118081180811808,0.31907179115300943
Logistic Regression,0.58,6860,869,55,216,1419,0.19907834101382488,0.7970479704797048,0.3185840707964602
Logistic Regression,0.59,6880,849,57,214,1419,0.2013170272812794,0.7896678966789668,0.32083958020989506
Logistic Regression,0.6,6912,817,58,213,1397,0.20679611650485438,0.7859778597785978,0.32744043043812454
Logistic Regression,0.61,6932,797,60,211,1397,0.20932539682539683,0.7785977859778598,0.3299452697419859
Logistic Regression,0.62,6969,760,64,207,1400,0.2140641158221303,0.7638376383763837,0.3344103392568659
Logistic Regression,0.63,6990,739,65,206,1389,0.21798941798941798,0.7601476014760148,0.33881578947368424
Logistic Regression,0.64,7010,719,67,204,1389,0.2210184182015168,0.7527675276752768,0.3417085427135678
Logistic Regression,0.65,7033,696,68,203,1376,0.22580645161290322,0.7490774907749077,0.347008547008547
Logistic Regression,0.66,7063,666,68,203,1346,0.2336018411967779,0.7490774907749077,0.356140350877193
Logistic Regression,0.67,7087,642,69,202,1332,0.23933649289099526,0.7453874538745388,0.36233183856502243
Logistic Regression,0.68,7106,623,72,199,1343,0.24209245742092458,0.7343173431734318,0.36413540713632203
Logistic Regression,0.69,7129,600,76,195,1360,0.24528301886792453,0.7195571955719557,0.36585365853658536
Logistic Regression,0.7,7156,573,79,192,1363,0.25098039215686274,0.7084870848708487,0.37065637065637064
Logistic Regression,0.71,7181,548,80,191,1348,0.2584573748308525,0.7047970479704797,0.3782178217821782
Logistic Regression,0.72,7196,533,80,191,1333,0.2638121546961326,0.7047970479704797,0.38391959798994973
Logistic Regression,0.73,7217,512,84,187,1352,0.2675250357653791,0.6900369003690037,0.38556701030927837
Logistic Regression,0.74,7239,490,87,184,1360,0.27299703264094954,0.6789667896678967,0.38941798941798944
Logistic Regression,0.75,7260,469,87,184,1339,0.28177641653905056,0.6789667896678967,0.39826839826839827
Logistic Regression,0.76,7288,441,89,182,1331,0.29213483146067415,0.6715867158671587,0.407158836689038
Logistic Regression,0.77,7309,420,90,181,1320,0.3011647254575707,0.6678966789667896,0.4151376146788991
Logistic Regression,0.78,7326,403,92,179,1323,0.3075601374570447,0.6605166051660517,0.4196951934349355
Logistic Regression,0.79,7346,383,94,177,1323,0.31607142857142856,0.6531365313653137,0.4259927797833935
Logistic Regression,0.8,7369,360,96,175,1320,0.32710280373831774,0.6457564575645757,0.43424317617866004
Logistic Regression,0.81,7390,339,98,173,1319,0.337890625,0.6383763837638377,0.44189016602809705
Logistic Regression,0.82,7412,317,100,171,1317,0.35040983606557374,0.6309963099630996,0.4505928853754941
Logistic Regression,0.83,7434,295,103,168,1325,0.36285097192224625,0.6199261992619927,0.45776566757493187
Logistic Regression,0.84,7454,275,104,167,1315,0.3778280542986425,0.6162361623616236,0.4684431977559607
Logistic Regression,0.85,7477,252,111,160,1362,0.3883495145631068,0.5904059040590406,0.4685212298682284
Logistic Regression,0.86,7497,232,117,154,1402,0.39896373056994816,0.5682656826568265,0.4687975646879756
Logistic Regression,0.87,7509,220,123,148,1450,0.40217391304347827,0.5461254612546126,0.46322378716744916
Logistic Regression,0.88,7521,208,128,143,1488,0.4074074074074074,0.5276752767527675,0.45980707395498394
Logistic Regression,0.89,7536,193,134,137,1533,0.41515151515151516,0.5055350553505535,0.4559068219633943
Logistic Regression,0.9,7554,175,140,131,1575,0.42810457516339867,0.4833948339483395,0.4540727902946274
Logistic Regression,0.91,7581,148,148,123,1628,0.45387453874538747,0.45387453874538747,0.45387453874538747
Logistic Regression,0.92,7598,131,154,117,1671,0.4717741935483871,0.4317343173431734,0.4508670520231214
Logistic Regression,0.93,7615,114,160,111,1714,0.49333333333333335,0.4095940959409594,0.4475806451612903
Logistic Regression,0.94,7636,93,166,105,1753,0.5303030303030303,0.3874538745387454,0.44776119402985076
Logistic Regression,0.95,7652,77,178,93,1857,0.5470588235294118,0.34317343173431736,0.4217687074829932
Logistic Regression,0.96,7665,64,188,83,1944,0.564625850340136,0.3062730627306273,0.39712918660287083
Logistic Regression,0.97,7686,43,198,73,2023,0.6293103448275862,0.2693726937269373,0.3772609819121447
Logistic Regression,0.98,7705,24,209,62,2114,0.7209302325581395,0.22878228782287824,0.3473389355742297
Logistic Regression,0.99,7717,12,229,42,2302,0.7777777777777778,0.15498154981549817,0.25846153846153846
Decision Tree,0.01,6266,1463,22,249,1683,0.14544392523364486,0.9188191881918819,0.25113464447806355
Decision Tree,0.02,6266,1463,22,249,1683,0.14544392523364486,0.9188191881918819,0.25113464447806355
Decision Tree,0.03,6266,1463,22,249,1683,0.14544392523364486,0.9188191881918819,0.25113464447806355
Decision Tree,0.04,6757,972,23,248,1202,0.20327868852459016,0.915129151291513,0.33266264252179745
Decision Tree,0.05,6757,972,23,248,1202,0.20327868852459016,0.915129151291513,0.33266264252179745
Decision Tree,0.06,6757,972,23,248,1202,0.20327868852459016,0.915129151291513,0.33266264252179745
Decision Tree,0.07,7100,629,25,246,879,0.28114285714285714,0.9077490774907749,0.4293193717277487
Decision Tree,0.08,7100,629,25,246,879,0.28114285714285714,0.9077490774907749,0.4293193717277487
Decision Tree,0.09,7100,629,25,246,879,0.28114285714285714,0.9077490774907749,0.4293193717277487
Decision Tree,0.1,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.11,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.12,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.13,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.14,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.15,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.16,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.17,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.18,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.19,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.2,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.21,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.22,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.23,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.24,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.25,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.26,7226,503,25,246,753,0.32843791722296395,0.9077490774907749,0.4823529411764706
Decision Tree,0.27,7292,437,26,245,697,0.3592375366568915,0.9040590405904059,0.5141657922350472
Decision Tree,0.28,7292,437,26,245,697,0.3592375366568915,0.9040590405904059,0.5141657922350472
Decision Tree,0.29,7292,437,26,245,697,0.3592375366568915,0.9040590405904059,0.5141657922350472
Decision Tree,0.3,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.31,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.32,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.33,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.34,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.35,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.36,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.37,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.38,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.39,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.4,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.41,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.42,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.43,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.44,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.45,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.46,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.47,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.48,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.49,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.5,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.51,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.52,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.53,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.54,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.55,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.56,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.57,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.58,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.59,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.6,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.61,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.62,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.63,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.64,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.65,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.66,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.67,7385,344,26,245,604,0.4159592529711375,0.9040590405904059,0.5697674418604651
Decision Tree,0.68,7408,321,26,245,581,0.43286219081272087,0.9040590405904059,0.5854241338112306
Decision Tree,0.69,7408,321,26,245,581,0.43286219081272087,0.9040590405904059,0.5854241338112306
Decision Tree,0.7,7447,282,29,242,572,0.4618320610687023,0.8929889298892989,0.6088050314465409
Decision Tree,0.71,7447,282,29,242,572,0.4618320610687023,0.8929889298892989,0.6088050314465409
Decision Tree,0.72,7447,282,29,242,572,0.4618320610687023,0.8929889298892989,0.6088050314465409
Decision Tree,0.73,7447,282,29,242,572,0.4618320610687023,0.8929889298892989,0.6088050314465409
Decision Tree,0.74,7447,282,29,242,572,0.4618320610687023,0.8929889298892989,0.6088050314465409
Decision Tree,0.75,7542,187,37,234,557,0.5558194774346793,0.8634686346863468,0.6763005780346821
Decision Tree,0.76,7631,98,43,228,528,0.6993865030674846,0.8413284132841329,0.7638190954773869
Decision Tree,0.77,7631,98,43,228,528,0.6993865030674846,0.8413284132841329,0.7638190954773869
Decision Tree,0.78,7631,98,43,228,528,0.6993865030674846,0.8413284132841329,0.7638190954773869
Decision Tree,0.79,7631,98,43,228,528,0.6993865030674846,0.8413284132841329,0.7638190954773869
Decision Tree,0.8,7631,98,43,228,528,0.6993865030674846,0.8413284132841329,0.7638190954773869
Decision Tree,0.81,7631,98,43,228,528,0.6993865030674846,0.8413284132841329,0.7638190954773869
Decision Tree,0.82,7639,90,44,227,530,0.7160883280757098,0.8376383763837638,0.7721088435374149
Decision Tree,0.83,7639,90,44,227,530,0.7160883280757098,0.8376383763837638,0.7721088435374149
Decision Tree,0.84,7669,60,50,221,560,0.7864768683274022,0.8154981549815498,0.8007246376811594
Decision Tree,0.85,7669,60,50,221,560,0.7864768683274022,0.8154981549815498,0.8007246376811594
Decision Tree,0.86,7678,51,50,221,551,0.8125,0.8154981549815498,0.8139963167587477
Decision Tree,0.87,7678,51,50,221,551,0.8125,0.8154981549815498,0.8139963167587477
Decision Tree,0.88,7694,35,53,218,565,0.8616600790513834,0.8044280442804428,0.8320610687022901
Decision Tree,0.89,7694,35,53,218,565,0.8616600790513834,0.8044280442804428,0.8320610687022901
Decision Tree,0.9,7694,35,53,218,565,0.8616600790513834,0.8044280442804428,0.8320610687022901
Decision Tree,0.91,7694,35,53,218,565,0.8616600790513834,0.8044280442804428,0.8320610687022901
Decision Tree,0.92,7695,34,57,214,604,0.8629032258064516,0.7896678966789668,0.8246628131021194
Decision Tree,0.93,7695,34,57,214,604,0.8629032258064516,0.7896678966789668,0.8246628131021194
Decision Tree,0.94,7701,28,58,213,608,0.8838174273858921,0.7859778597785978,0.83203125
Decision Tree,0.95,7701,28,58,213,608,0.8838174273858921,0.7859778597785978,0.83203125
Decision Tree,0.96,7708,21,61,210,631,0.9090909090909091,0.7749077490774908,0.8366533864541833
Decision Tree,0.97,7710,19,66,205,679,0.9151785714285714,0.7564575645756457,0.8282828282828283
Decision Tree,0.98,7712,17,66,205,677,0.9234234234234234,0.7564575645756457,0.8316430020283976
Decision Tree,0.99,7713,16,66,205,676,0.9276018099547512,0.7564575645756457,0.8333333333333334
Random Forest,0.01,5230,2499,6,265,2559,0.09587554269175108,0.977859778597786,0.17462932454695224
Random Forest,0.02,6159,1570,7,264,1640,0.14394765539803708,0.974169741697417,0.2508313539192399
Random Forest,0.03,6564,1165,7,264,1235,0.1847445766270119,0.974169741697417,0.31058823529411766
Random Forest,0.04,6773,956,8,263,1036,0.21575061525840852,0.9704797047970479,0.3530201342281879
Random Forest,0.05,6893,836,9,262,926,0.23861566484517305,0.966789667896679,0.38276113951789625
Random Forest,0.06,6971,758,9,262,848,0.2568627450980392,0.966789667896679,0.4058869093725794
Random Forest,0.07,7038,691,11,260,801,0.2733964248159832,0.959409594095941,0.425531914893617
Random Forest,0.08,7085,644,12,259,764,0.2868217054263566,0.955719557195572,0.44122657580919933
Random Forest,0.09,7132,597,12,259,717,0.30257009345794394,0.955719557195572,0.45962732919254656
Random Forest,0.1,7174,555,15,256,705,0.3156596794081381,0.9446494464944649,0.4731977818853974
Random Forest,0.11,7217,512,15,256,662,0.3333333333333333,0.9446494464944649,0.49278152069297404
Random Forest,0.12,7251,478,15,256,628,0.34877384196185285,0.9446494464944649,0.5094527363184079
Random Forest,0.13,7293,436,17,254,606,0.3681159420289855,0.9372693726937269,0.5286160249739854
Random Forest,0.14,7315,414,19,252,604,0.3783783783783784,0.9298892988929889,0.5378868729989328
Random Forest,0.15,7349,380,21,250,590,0.3968253968253968,0.922509225092251,0.5549389567147613
Random Forest,0.16,7384,345,24,247,585,0.4172297297297297,0.9114391143911439,0.5724217844727694
Random Forest,0.17,7406,323,26,245,583,0.43133802816901406,0.9040590405904059,0.5840286054827175
Random Forest,0.18,7424,305,26,245,565,0.44545454545454544,0.9040590405904059,0.5968331303288672
Random Forest,0.19,7454,275,26,245,535,0.47115384615384615,0.9040590405904059,0.6194690265486725
